id,published_date,company,order_type,provisions,product,title,url,pdf_url,fiscal_year
"036663","2024-03-19","「車両用クレベリン」と称する役務の提供事業者10社","措置命令","第5条第1号(優良誤認) / 第7条第1項","車両用クレベリン","「車両用クレベリン」と称する役務の提供事業者10社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/036663/","","2023"
"036556","2024-03-12","メルセデス・ベンツ日本株式会社","課徴金納付命令","第8条第1項","AMGライン","メルセデス・ベンツ日本株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/036556/","","2023"
"036590","2024-03-07","株式会社SCエージェント","措置命令","第5条第1号(優良誤認) / 第7条第1項","","株式会社SCエージェントに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/036590/","","2023"
"036577","2024-03-06","ティーライフ株式会社","課徴金納付命令","第8条第1項","メタボメ茶","ティーライフ株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/036577/","","2023"
"036563","2024-03-05","株式会社エスイーライフ","措置命令","第5条第1号(優良誤認) / 第7条第1項","","株式会社エスイーライフに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/036563/","","2023"
"036514","2024-03-01","エクスコムグローバル株式会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","イモトのWiFi","エクスコムグローバル株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/036514/","","2023"
"036536","2024-03-01","飯田グループホールディングス株式会社ほか4社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","飯田グループホールディングス株式会社ほか4社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/036536/","","2023"
"036495","2024-02-29","フロンティアジャパン株式会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","フロンティアジャパン株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/036495/","","2023"
"036478","2024-02-27","太陽光発電システム機器等の販売施工業者2社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","太陽光発電システム機器等の販売施工業者2社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/036478/","","2023"
"036443","2024-02-22","株式会社東京マルイ","課徴金納付命令","第8条第1項","","株式会社東京マルイに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/036443/","","2023"
"036249","2024-02-08","糖質カット炊飯器の販売事業者4社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","糖質カット炊飯器の販売事業者4社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/036249/","","2023"
"036222","2024-01-31","二酸化塩素による空間除菌を標ぼうする商品の販売事業者4社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","二酸化塩素による空間除菌を標ぼうする商品の販売事業者4社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/036222/","","2023"
"035721","2023-12-22","空気清浄効果等を標ぼうする商品の製造販売業者2社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","空気清浄効果等を標ぼうする商品の製造販売業者2社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/035721/","","2023"
